run_id,review_type,record_ids,detail,status
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00113|CPL-R00401,"same payer/service, amounts 7239/7080, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00113|CPL-R00402,"same payer/service, amounts 7239/6732, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00336|CPL-R00457,"same payer/service, amounts 8425/8468, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00430|CPL-R00431,"same payer/service, amounts 9575/8986, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00431|CPL-R00457,"same payer/service, amounts 8986/8468, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00155|CPL-R00390,"same payer/service, amounts 8505/8158, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,CPL-R00389|CPL-R00390,"same payer/service, amounts 7577/8158, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,TRI-R00506|TRI-R00507,"same payer/service, amounts 5499/5365, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,TRI-R00506|TRI-R00519,"same payer/service, amounts 5499/5428, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,TRI-R00506|TRI-R00571,"same payer/service, amounts 5499/5736, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,TRI-R00507|TRI-R00519,"same payer/service, amounts 5365/5428, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,TRI-R00507|TRI-R00571,"same payer/service, amounts 5365/5736, dates within 7d",pending
run-20260922T104207Z-A,MULTI_CANDIDATE_AMBIGUITY,TRI-R00519|TRI-R00571,"same payer/service, amounts 5428/5736, dates within 7d",pending
