run_id,as_of,method_version,left_record_id,right_record_id,decision,rule_ids,reason,score,score_kind,review_required
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00003,PG-R00004,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00023,PG-R00024,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00027,PG-R00028,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00062,PG-R00063,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00086,PG-R00087,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00103,PG-R00104,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00105,PG-R00106,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00112,PG-R00113,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00134,PG-R00135,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PG-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PG-R00146,PG-R00147,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
