run_id,lineage_id,record_ids,org_token,status
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00001,CPL-R00001,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00002,CPL-R00002,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00003,CPL-R00003|CPL-R00004,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00005,CPL-R00005,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00006,CPL-R00006,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00007,CPL-R00007|CPL-R00008|CPL-R00422,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00009,CPL-R00009,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00010,CPL-R00010,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00011,CPL-R00011,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00012,CPL-R00012,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00013,CPL-R00013,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00014,CPL-R00014,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00015,CPL-R00015,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00016,CPL-R00016|CPL-R00280,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00017,CPL-R00017,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00018,CPL-R00018,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00019,CPL-R00019,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00020,CPL-R00020,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00021,CPL-R00021,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00022,CPL-R00022,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00023,CPL-R00023,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00024,CPL-R00024,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00025,CPL-R00025,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00026,CPL-R00026,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00027,CPL-R00027,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00028,CPL-R00028,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00029,CPL-R00029,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00030,CPL-R00030|CPL-R00031,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00032,CPL-R00032,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00033,CPL-R00033,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00034,CPL-R00034,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00035,CPL-R00035|CPL-R00036,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00037,CPL-R00037,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00038,CPL-R00038,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00039,CPL-R00039,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00040,CPL-R00040,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00041,CPL-R00041,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00042,CPL-R00042,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00043,CPL-R00043|CPL-R00044,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00045,CPL-R00045,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00046,CPL-R00046|CPL-R00170,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00047,CPL-R00047,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00048,CPL-R00048,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00049,CPL-R00049,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00050,CPL-R00050,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00051,CPL-R00051,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00052,CPL-R00052,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00053,CPL-R00053,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00054,CPL-R00054,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00055,CPL-R00055,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00056,CPL-R00056,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00057,CPL-R00057,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00058,CPL-R00058,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00059,CPL-R00059,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00060,CPL-R00060,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00061,CPL-R00061,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00062,CPL-R00062,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00063,CPL-R00063,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00064,CPL-R00064,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00065,CPL-R00065,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00066,CPL-R00066,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00067,CPL-R00067,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00068,CPL-R00068,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00069,CPL-R00069|CPL-R00070,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00071,CPL-R00071,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00072,CPL-R00072,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00073,CPL-R00073,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00074,CPL-R00074,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00075,CPL-R00075,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00076,CPL-R00076,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00077,CPL-R00077,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00078,CPL-R00078,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00079,CPL-R00079,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00080,CPL-R00080,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00081,CPL-R00081,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00082,CPL-R00082,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00083,CPL-R00083,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00084,CPL-R00084,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00085,CPL-R00085,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00086,CPL-R00086,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00087,CPL-R00087,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00088,CPL-R00088,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00089,CPL-R00089,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00090,CPL-R00090,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00091,CPL-R00091,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00092,CPL-R00092,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00093,CPL-R00093,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00094,CPL-R00094,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00095,CPL-R00095,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00096,CPL-R00096,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00097,CPL-R00097,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00098,CPL-R00098,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R000-CPL-R00099,CPL-R00099,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00100,CPL-R00100,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00101,CPL-R00101,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00102,CPL-R00102,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00103,CPL-R00103,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00104,CPL-R00104|CPL-R00151,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00105,CPL-R00105,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00106,CPL-R00106|CPL-R00107,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00108,CPL-R00108,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00109,CPL-R00109,CPL,CLOSED_NO_PAYMENT
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00110,CPL-R00110,CPL,OPEN
run-20260922T034132Z-demo-A,run-CPL-R001-CPL-R00111,CPL-R00111,CPL,OPEN
